cluster_id,latitud,longitud,alcaldia_comun,categoria_comun,calle_cercana
32,19.399703098628308,-99.12419853145084,IZTACALCO,DELITO DE BAJO IMPACTO,"580, Calzada de la Viga, Santa Anita Zacatlalmanco Huehuetl, Ciudad de México, Iztacalco, Ciudad de México, 08300, México"
33,19.38367047274639,-99.21323119528554,ALVARO OBREGON,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,"Andador 65, Colonia La Joya, Ciudad de México, Álvaro Obregón, Ciudad de México, 01279, México"
34,19.34953640972419,-99.06768434707925,IZTAPALAPA,DELITO DE BAJO IMPACTO,"Calle General E. Andrade, Colonia Ampliación San Miguel, Ciudad de México, Iztapalapa, Ciudad de México, 09260, México"
35,19.45205461131311,-99.07920817160486,GUSTAVO A. MADERO,DELITO DE BAJO IMPACTO,"Avenida 508, Aragón, Ciudad de México, Gustavo A. Madero, Ciudad de México, 07969, México"
36,19.330600256800498,-99.14617808687464,COYOACAN,DELITO DE BAJO IMPACTO,"Calle Clavel, Colonia Residencial Coyoacán, Ciudad de México, Coyoacán, Ciudad de México, 04380, México"
37,19.48929973327381,-99.12333577492312,GUSTAVO A. MADERO,DELITO DE BAJO IMPACTO,"Avenida Insurgentes Norte, Colonia Tepeyac Insurgentes, Ciudad de México, Gustavo A. Madero, Ciudad de México, 07300, México"
38,19.19404936529567,-99.04595593835616,MILPA ALTA,DELITO DE BAJO IMPACTO,"Barrio Panchimalco, Tlatlapantunco, San Pablo Oztotepec, Milpa Alta, Ciudad de México, 12420, México"
39,19.352830767242857,-99.0036828636507,IZTAPALAPA,DELITO DE BAJO IMPACTO,"Prolongación Porfirio Díaz, 1ra Ampliación Santiago Acahualtepec, Ciudad de México, Iztapalapa, Pueblo Santiago Acahualtepec, Ciudad de México, 09600, México"
40,19.315607276721494,-99.2484658423442,LA MAGDALENA CONTRERAS,DELITO DE BAJO IMPACTO,"Calle 5 de Mayo, Colonia Atacaxco, Ciudad de México, La Magdalena Contreras, Ciudad de México, 10380, México"
41,19.41965412256169,-99.14745287767515,CUAUHTEMOC,DELITO DE BAJO IMPACTO,"Avenida Doctor José María Vértiz, Doctores, Ciudad de México, Cuauhtémoc, Ciudad de México, 06720, México"
42,19.31487619360329,-99.07218020062544,IZTAPALAPA,DELITO DE BAJO IMPACTO,"Bodega Aurrera, Avenida Tláhuac, San Lorenzo Tezonco, Iztapalapa, Ciudad de México, 09790, México, Ciudad de México, Iztapalapa, Ciudad de México, 09790, México"
43,19.36514088235743,-99.16180021193533,BENITO JUAREZ,DELITO DE BAJO IMPACTO,"Cerrada Tenayuca, Santa Cruz Atoyac, Ciudad de México, Benito Juárez, Ciudad de México, 03310, México"
44,19.444898327178276,-99.15208056485149,CUAUHTEMOC,DELITO DE BAJO IMPACTO,"Calle Jesús García, Buenavista, Ciudad de México, Cuauhtémoc, Ciudad de México, 06350, México"
45,19.401178905468157,-99.18729044160497,MIGUEL HIDALGO,DELITO DE BAJO IMPACTO,"Calle 2ª Cerrada José María Vigil, Tacubaya, Ciudad de México, Miguel Hidalgo, Ciudad de México, 11870, México"
46,19.22390446619969,-99.20010948251748,TLALPAN,DELITO DE BAJO IMPACTO,"Prolongación Vicente Guerrero, San Miguel Ajusco, Camino a la Venta, Tlalpan, San Miguel Ajusco, Ciudad de México, 14700, México"
47,19.37176828818226,-99.18646132465072,BENITO JUAREZ,DELITO DE BAJO IMPACTO,"Avenida Río Mixcoac, Colonia Mixcoac, Colonia Insurgentes Mixcoac, Ciudad de México, Benito Juárez, Ciudad de México, 03920, México"
48,19.26503148929053,-99.16910462282036,TLALPAN,DELITO DE BAJO IMPACTO,"Calle del Rosal, Chimalcoyoc, Ciudad de México, Tlalpan, Ciudad de México, 14650, México"
49,19.328340848613852,-99.31916102030769,CUAJIMALPA DE MORELOS,DELITO DE BAJO IMPACTO,"San Lorenzo Acopilco, Cuajimalpa de Morelos, Ciudad de México, 05410, México"
